PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
129;Magikarp;;27/27;"98,80";SplashFast;Struggle;14;15;14;15;149;;No;http://poke.isitin.org/#MTI5LDIyLDQsMjcsMTQ=
98;Krabby;;82/82;"96,87";BubbleFast;WaterPulse;19;15;13;15;11;;No;http://poke.isitin.org/#OTgsMjIsNCw4MiwxOQ==
127;Pinsir;;93/94;"95,25";RockSmashFast;Submission;24;15;12;15;74;;No;http://poke.isitin.org/#MTI3LDIyLDIsOTMsMjQ=
1;Bulbasaur;;110/112;"95,13";TackleFast;SeedBomb;26;14;14;15;6;;No;http://poke.isitin.org/#MSwyMiw0LDExMCwyNg==
98;Krabby;;105/106;"94,78";MudShotFast;ViceGrip;21;15;15;13;11;;No;http://poke.isitin.org/#OTgsMjIsNSwxMDUsMjE=
120;Staryu;;68/69;"94,39";WaterGunFast;Swift;15;14;15;14;42;;No;http://poke.isitin.org/#MTIwLDIyLDMsNjgsMTU=
72;Tentacool;;382/387;"94,15";BubbleFast;Wrap;48;15;14;13;23;;No;http://poke.isitin.org/#NzIsMjIsMTUsMzgyLDQ4
137;Porygon;;713/725;"91,08";QuickAttackFast;Psybeam;73;15;12;13;3;;No;http://poke.isitin.org/#MTM3LDIyLDE1LDcxMyw3Mw==
95;Onix;;454/465;"90,49";RockThrowFast;RockSlide;49;13;13;15;28;;No;http://poke.isitin.org/#OTUsMjIsMTksNDU0LDQ5
129;Magikarp;;26/27;"90,39";SplashFast;Struggle;13;14;14;13;149;;No;http://poke.isitin.org/#MTI5LDIyLDQsMjYsMTM=
100;Voltorb;;11/11;"87,65";SparkFast;SignalBeam;10;14;9;15;3;;No;http://poke.isitin.org/#MTAwLDIyLDEsMTEsMTA=
44;Gloom;;519/531;"87,07";RazorLeafFast;Moonblast;58;15;11;12;7;;No;http://poke.isitin.org/#NDQsMjIsMTEsNTE5LDU4
81;Magnemite;;220/227;"86,89";SparkFast;Discharge;24;14;14;12;14;;No;http://poke.isitin.org/#ODEsMjIsOSwyMjAsMjQ=
107;Hitmonchan;;801/823;"85,94";BulletPunchFast;BrickBreak;64;15;13;10;34;;No;http://poke.isitin.org/#MTA3LDIyLDE5LDgwMSw2NA==
107;Hitmonchan;;464/476;"85,89";BulletPunchFast;BrickBreak;49;15;11;11;34;;No;http://poke.isitin.org/#MTA3LDIyLDExLDQ2NCw0OQ==
29;NidoranFemale;;435/450;"85,79";PoisonStingFast;PoisonFang;70;13;12;14;13;;No;http://poke.isitin.org/#MjksMjIsMTgsNDM1LDcw
131;Lapras;;658/671;"85,27";IceShardFast;IceBeam;103;15;7;15;3;;No;http://poke.isitin.org/#MTMxLDIyLDgsNjU4LDEwMw==
147;Dratini;;407/421;"85,11";DragonBreathFast;AquaTail;47;15;13;10;7;;No;http://poke.isitin.org/#MTQ3LDIyLDE1LDQwNyw0Nw==
22;Fearow;;971/997;"84,54";SteelWingFast;DrillRun;84;12;15;12;43;;No;http://poke.isitin.org/#MjIsMjIsMjAsOTcxLDg0
17;Pidgeotto;;541/559;"84,35";WingAttackFast;Twister;73;12;15;12;9;;No;http://poke.isitin.org/#MTcsMjIsMTYsNTQxLDcz
